		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	NU = 244.125000	M = 125000	N = 8	m = 9	n = 1000000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
010110111  250  235  242  236  251  224  218  248  5.669195  0.684231 	SUCCESS  65
010111011  253  229  254  258  245  241  242  249  2.696111  0.951958 	SUCCESS  66
010111111  236  248  212  221  219  281  219  250 18.237279  0.019516 	SUCCESS  67
011000111  254  212  250  227  251  252  234  243  7.076829  0.528367 	SUCCESS  68
011001111  224  252  273  229  231  267  253  234 10.195018  0.251604 	SUCCESS  69
011010111  234  230  254  242  238  273  237  241  5.659662  0.685294 	SUCCESS  70
011011111  246  262  246  267  243  229  264  205 12.733843  0.121341 	SUCCESS  71
011101111  244  248  242  222  240  229  243  254  3.616528  0.889960 	SUCCESS  72
011111111  237  286  273  258  238  264  246  237 14.054625  0.080353 	SUCCESS  73
100000000  258  233  224  247  249  269  259  248  6.814155  0.556810 	SUCCESS  74
100010000  236  229  244  234  234  233  232  251  3.465067  0.901884 	SUCCESS  75
100100000  241  250  256  250  252  229  274  264  7.618064  0.471639 	SUCCESS  76
100101000  239  242  242  244  245  255  249  251  0.954840  0.998518 	SUCCESS  77
100110000  212  235  248  260  263  235  249  241  7.860613  0.447203 	SUCCESS  78
100111000  267  234  259  245  247  221  244  237  6.107690  0.635170 	SUCCESS  79
101000000  246  254  253  257  259  245  251  268  5.019925  0.755444 	SUCCESS  80
101000100  232  236  248  231  241  228  213  219  9.617772  0.292884 	SUCCESS  81
101001000  241  287  229  269  228  265  279  257 20.223218  0.009524 	FAILURE  82
101001100  246  231  274  234  286  238  234  233 13.507036  0.095554 	SUCCESS  83
101010000  263  246  249  254  252  248  239  252  2.738478  0.949683 	SUCCESS  84
101010100  259  239  239  214  242  242  238  249  5.302723  0.724785 	SUCCESS  85
101011000  247  228  252  228  249  249  254  263  4.624856  0.796816 	SUCCESS  86
101011100  240  228  248  225  250  256  264  254  5.617296  0.690013 	SUCCESS  87
101100000  232  240  215  275  259  260  271  238 13.551521  0.094230 	SUCCESS  88
101100100  235  253  248  240  281  254  212  241 11.409884  0.179538 	SUCCESS  89
101101000  266  252  228  241  270  248  247  227  7.610649  0.472396 	SUCCESS  90
101101100  203  210  250  238  251  268  265  242 16.884722  0.031332 	SUCCESS  91
101110000  241  225  248  256  228  255  253  264  5.861964  0.662691 	SUCCESS  92
101110100  231  251  270  245  216  239  227  229  9.444069  0.306230 	SUCCESS  93
101111000  260  244  248  233  234  241  242  249  2.251261  0.972324 	SUCCESS  94
101111100  232  235  250  257  232  222  274  233  8.826574  0.357137 	SUCCESS  95
110000000  259  257  234  269  259  244  251  245  5.836543  0.665536 	SUCCESS  96
110000010  235  226  223  260  237  229  245  247  5.925514  0.655575 	SUCCESS  97
110000100  208  226  227  234  260  231  269  238 13.175516  0.105952 	SUCCESS  98
110001000  246  246  250  264  237  216  252  253  6.012365  0.645847 	SUCCESS  99
110001010  271  242  212  231  261  245  254  224 11.520037  0.173937 	SUCCESS 100
110010000  248  249  259  254  263  252  241  246  3.343263  0.911008 	SUCCESS 101
110010010  227  243  230  213  274  250  231  262 12.208496  0.142141 	SUCCESS 102
110010100  246  214  239  263  257  252  225  252  8.257801  0.408701 	SUCCESS 103
110011000  249  264  239  245  255  241  235  236  3.063643  0.930300 	SUCCESS 104
110011010  233  237  267  226  223  215  244  261 11.039175  0.199489 	SUCCESS 105
110100000  256  254  272  220  248  235  267  250  9.547867  0.298203 	SUCCESS 106
110100010  232  228  245  247  235  242  235  231  3.217222  0.919995 	SUCCESS 107
110100100  231  269  233  248  259  248  269  241  7.603235  0.473154 	SUCCESS 108
110101000  269  256  246  279  250  215  241  253 12.501886  0.130176 	SUCCESS 109
110101010  238  242  213  218  250  250  241  249  7.608531  0.472613 	SUCCESS 110
110101100  257  246  252  224  227  242  250  262  5.457361  0.707759 	SUCCESS 111
110110000  251  238  225  240  258  264  275  240  8.580847  0.378878 	SUCCESS 112
110110010  236  227  258  232  266  261  232  240  6.889356  0.548616 	SUCCESS 113
110110100  256  247  225  246  271  252  227  241  6.803564  0.557968 	SUCCESS 114
110111000  249  238  241  242  230  254  245  267  3.798705  0.874813 	SUCCESS 115
110111010  240  258  243  241  229  220  240  231  5.171386  0.739111 	SUCCESS 116
110111100  256  235  261  221  236  252  240  243  5.042168  0.753060 	SUCCESS 117
111000000  262  261  261  260  252  244  244  222  7.171095  0.518291 	SUCCESS 118
111000010  220  245  232  244  253  260  259  254  5.843958  0.664706 	SUCCESS 119
111000100  247  252  231  250  232  228  245  247  2.936542  0.938276 	SUCCESS 120
111000110  215  238  237  246  223  234  255  228  7.910394  0.442272 	SUCCESS 121
111001000  236  254  275  254  250  246  234  247  5.775112  0.672406 	SUCCESS 122
111001010  263  217  245  268  238  253  243  253  7.876500  0.445626 	SUCCESS 123
111001100  242  257  261  249  247  242  238  250  2.387894  0.966754 	SUCCESS 124
111010000  264  250  274  229  244  237  285  243 13.869271  0.085237 	SUCCESS 125
111010010  229  271  223  261  230  240  219  256 11.315618  0.184449 	SUCCESS 126
111010100  269  234  227  272  278  232  240  248 13.210469  0.104810 	SUCCESS 127
